Car Model,Mileage,Sell Price($),Age(yrs)
Mercedez Benz C class,32846,17875,4
BMW X5,34992,32702,3
Mercedez Benz C class,44754,17783,4
Audi A5,38413,34382,3
Audi A5,109486,10000,9
BMW X5,8106,41916,1
Mercedez Benz C class,73756,10000,9
Audi A5,125669,10000,7
Mercedez Benz C class,104399,10000,7
Mercedez Benz C class,50329,21655,5
Mercedez Benz C class,75496,17034,5
Audi A5,34009,17969,4
Audi A5,48946,12290,6
BMW X5,28135,32949,3
Mercedez Benz C class,50013,27051,4
Audi A5,20668,28376,2
Mercedez Benz C class,108046,10000,9
Mercedez Benz C class,112824,16456,7
Audi A5,131222,10000,8
Mercedez Benz C class,27766,25423,3
Audi A5,65827,17423,4
BMW X5,64992,15681,4
Audi A5,62785,10000,7
Mercedez Benz C class,75292,17562,5
Audi A5,69517,10000,7
Mercedez Benz C class,50406,18393,3
Audi A5,68473,16571,6
Mercedez Benz C class,31189,36260,2
Audi A5,140026,10000,8
Mercedez Benz C class,66900,13707,5
BMW X5,52621,21272,4
Audi A5,80215,10000,9
Audi A5,71192,10115,7
BMW X5,74740,10398,7
BMW X5,134864,10000,9
Audi A5,79111,10000,5
Audi A5,75234,17388,5
Audi A5,59768,14390,7
Audi A5,33669,37569,3
Audi A5,12356,34190,1
BMW X5,66158,18153,5
BMW X5,45005,23361,5
Mercedez Benz C class,56448,19797,4
Mercedez Benz C class,102077,10000,6
Mercedez Benz C class,120525,10000,7
BMW X5,111263,10000,9
Audi A5,114699,10000,10
Mercedez Benz C class,15779,42699,1
BMW X5,48397,23802,3
Mercedez Benz C class,16857,31335,1
Mercedez Benz C class,51511,23586,6
Mercedez Benz C class,139602,10000,8
BMW X5,13699,30749,1
BMW X5,121293,10000,9
Audi A5,41410,29628,4
Mercedez Benz C class,118311,10000,9
Mercedez Benz C class,42069,24928,4
BMW X5,82925,20670,6
Audi A5,30171,33472,2
Audi A5,48325,24518,3
Mercedez Benz C class,84022,10000,9
BMW X5,114320,10000,10
Mercedez Benz C class,95305,10000,7
BMW X5,56138,10000,7
Audi A5,40308,10000,5
Audi A5,146334,10000,9
BMW X5,126987,10000,10
Audi A5,20402,31892,2
Mercedez Benz C class,101868,17077,6
Audi A5,73276,10000,9
Audi A5,49394,22700,4
Audi A5,50084,20607,4
Mercedez Benz C class,143853,10000,9
BMW X5,20172,32102,2
BMW X5,66228,23126,7
Audi A5,30874,28147,2
Audi A5,100723,18882,6
Audi A5,101896,10000,9
BMW X5,84224,19382,5
BMW X5,83504,10000,10
Audi A5,34591,40922,2
Mercedez Benz C class,75152,15684,5
Mercedez Benz C class,82141,14679,7
BMW X5,14863,37999,1
Audi A5,124202,10000,8
BMW X5,110117,10000,10
Mercedez Benz C class,91994,12441,8
Audi A5,67144,19206,5
Audi A5,56902,19473,7
Audi A5,98168,13321,9
Audi A5,19869,34737,2
Audi A5,56110,22946,4
Mercedez Benz C class,40025,13575,5
Audi A5,10853,42812,1
Mercedez Benz C class,39184,24132,3
BMW X5,121116,10000,10
BMW X5,34461,34293,2
Audi A5,132491,10000,8
Audi A5,87844,10000,7
Audi A5,36728,29069,3
Mercedez Benz C class,33550,33593,2
Mercedez Benz C class,15230,35914,1
Audi A5,66981,11334,5
BMW X5,51111,13022,5
BMW X5,44565,16688,5
BMW X5,84939,10000,10
Mercedez Benz C class,103861,15845,8
Audi A5,137108,10000,8
BMW X5,13679,33315,1
BMW X5,113364,10000,8
Audi A5,68160,19294,6
Mercedez Benz C class,13538,32132,1
Audi A5,25567,37263,2
Audi A5,95165,10000,9
Audi A5,18003,31907,2
Audi A5,109466,10000,10
Audi A5,25217,38178,2
Mercedez Benz C class,148390,10000,9
Mercedez Benz C class,69435,18298,4
Audi A5,96016,10000,8
Mercedez Benz C class,104655,10000,7
BMW X5,108140,10000,9
Mercedez Benz C class,40673,20092,5
BMW X5,125278,10000,9
Audi A5,92454,12487,7
Mercedez Benz C class,37790,23244,3
Audi A5,75256,20350,6
Audi A5,15947,40203,1
BMW X5,87688,10502,7
BMW X5,30998,30554,2
BMW X5,60906,21073,4
Mercedez Benz C class,33552,27432,4
Audi A5,93638,10000,7
Mercedez Benz C class,11717,33968,1
BMW X5,51370,30424,3
Mercedez Benz C class,57612,10000,6
Audi A5,18393,32312,2
Audi A5,52015,28136,4
Audi A5,83694,10000,7
Audi A5,92028,14442,6
Audi A5,142038,10000,8
Mercedez Benz C class,115157,10000,8
Audi A5,80771,10000,9
Mercedez Benz C class,74333,17169,5
BMW X5,51483,18658,6
Audi A5,75110,22909,5
Audi A5,100119,10000,8
Audi A5,76144,22579,5
Audi A5,9773,32538,1
BMW X5,68273,13021,4
Audi A5,55161,25326,5
BMW X5,38070,33829,3
Audi A5,14896,36957,1
Mercedez Benz C class,62655,17436,5
Mercedez Benz C class,114120,10000,9
Mercedez Benz C class,30620,28208,3
Audi A5,83876,22461,6
Audi A5,51871,17884,5
BMW X5,53838,30180,3
Mercedez Benz C class,129858,10000,9
Mercedez Benz C class,14536,42961,1
Mercedez Benz C class,28149,28748,3
BMW X5,83144,20293,7
Audi A5,51438,15390,5
Mercedez Benz C class,118554,10000,9
Mercedez Benz C class,52377,28048,3
Audi A5,38176,26453,4
Audi A5,53499,10000,6
Audi A5,12786,38740,1
Mercedez Benz C class,85319,10000,10
Mercedez Benz C class,37709,30611,4
BMW X5,9887,39306,1
Mercedez Benz C class,39505,24359,3
BMW X5,177318,10000,10
BMW X5,64838,10000,8
BMW X5,27999,30146,2
Mercedez Benz C class,60783,10000,6
BMW X5,35142,23270,3
Mercedez Benz C class,107168,10000,9
Audi A5,57352,11618,7
BMW X5,22300,30076,2
BMW X5,86658,17041,8
Mercedez Benz C class,88939,16856,5
Mercedez Benz C class,89974,10000,10
BMW X5,47857,24603,4
Mercedez Benz C class,77219,20546,5
Mercedez Benz C class,54007,17439,5
BMW X5,89625,10000,10
Audi A5,83855,10000,9
Mercedez Benz C class,85687,10000,6
Mercedez Benz C class,47324,21178,5
Audi A5,87253,10000,6
Mercedez Benz C class,146725,10000,9
BMW X5,73426,20555,6
Audi A5,89012,10206,6
Mercedez Benz C class,10262,38378,1
Mercedez Benz C class,77017,21981,5
Audi A5,39998,24865,4
BMW X5,140202,10000,10
Mercedez Benz C class,79653,22986,5
Audi A5,70620,10000,7
BMW X5,87189,10000,7
BMW X5,90414,10000,9
BMW X5,8980,35517,1
BMW X5,27452,36547,2
Mercedez Benz C class,68929,22767,4
Mercedez Benz C class,93624,10000,9
Audi A5,115049,10000,7
BMW X5,79528,14331,6
Mercedez Benz C class,44232,21089,4
Mercedez Benz C class,76922,10000,8
Mercedez Benz C class,101849,10000,10
Audi A5,124826,10000,10
Mercedez Benz C class,114040,10000,9
BMW X5,14415,44186,1
BMW X5,81424,16513,6
BMW X5,34620,20528,3
BMW X5,69991,29492,4
Mercedez Benz C class,69471,14527,4
Audi A5,86252,10855,6
Audi A5,17622,39939,1
Mercedez Benz C class,53681,12501,6
Mercedez Benz C class,128995,10000,8
Audi A5,81394,10000,7
Mercedez Benz C class,35616,25961,2
Audi A5,81297,10000,10
Mercedez Benz C class,26952,31889,2
Mercedez Benz C class,31986,35756,2
Audi A5,87823,10000,7
BMW X5,112038,10000,8
BMW X5,93048,10000,8
Audi A5,22443,31637,2
BMW X5,21089,26357,2
Audi A5,122610,10000,8
Mercedez Benz C class,22368,37216,2
Audi A5,113244,10000,10
BMW X5,96760,10000,9
Audi A5,148268,10000,9
BMW X5,12460,41059,1
Audi A5,116256,10000,7
BMW X5,35265,26472,4
BMW X5,103053,10000,10
Audi A5,125477,10000,9
Mercedez Benz C class,21121,28987,2
BMW X5,119841,11759,9
Mercedez Benz C class,84764,10000,6
Audi A5,108463,10000,8
BMW X5,138279,10000,9
BMW X5,56680,14983,5
BMW X5,34122,26353,2
Mercedez Benz C class,82097,11149,8
Audi A5,88720,10000,8
Mercedez Benz C class,11594,30646,1
Mercedez Benz C class,54026,26779,4
BMW X5,121865,10000,8
Mercedez Benz C class,132114,10000,8
Audi A5,127484,10000,8
BMW X5,101441,10000,8
BMW X5,176321,10000,10
Mercedez Benz C class,105550,10000,8
BMW X5,62351,16891,6
Mercedez Benz C class,16039,31790,1
Mercedez Benz C class,16291,43834,1
Mercedez Benz C class,29658,32843,3
BMW X5,30533,40789,2
Mercedez Benz C class,119393,17471,7
Audi A5,118121,10000,9
Mercedez Benz C class,107340,10000,8
Audi A5,19330,32375,2
Audi A5,15308,40773,1
Mercedez Benz C class,15239,35421,1
Audi A5,35467,22163,3
BMW X5,33471,24326,3
Mercedez Benz C class,50564,26387,3
BMW X5,104790,10000,6
Mercedez Benz C class,17664,31110,1
Mercedez Benz C class,12858,43596,1
BMW X5,14678,37113,1
BMW X5,108733,12978,8
BMW X5,161894,10000,10
Audi A5,123535,10000,7
Mercedez Benz C class,158059,10000,9
Audi A5,50738,19435,4
BMW X5,55920,15327,6
Mercedez Benz C class,39006,31908,3
Audi A5,82657,19211,5
BMW X5,71903,22599,4
Mercedez Benz C class,89961,18039,5
Audi A5,25597,24608,3
Audi A5,25045,35113,2
BMW X5,87642,14866,5
BMW X5,120939,10000,10
Mercedez Benz C class,17544,41368,1
Mercedez Benz C class,47363,29727,3
Audi A5,91627,10000,9
Mercedez Benz C class,148951,10000,9
Audi A5,55902,26240,4
BMW X5,98059,10000,7
Audi A5,80626,13537,5
Audi A5,26403,36169,2
Audi A5,57022,29349,4
Mercedez Benz C class,95415,10000,8
BMW X5,100607,18034,6
Audi A5,32895,27370,2
Mercedez Benz C class,112537,10000,10
Audi A5,84806,10000,10
BMW X5,51561,31346,3
Mercedez Benz C class,165994,10000,10
BMW X5,72863,10000,9
BMW X5,107239,13472,6
Mercedez Benz C class,50467,31998,3
Mercedez Benz C class,24370,22977,3
BMW X5,49996,18250,5
Audi A5,114949,10000,9
Audi A5,104784,10000,10
Mercedez Benz C class,52490,16856,5
BMW X5,112397,10000,8
Mercedez Benz C class,50937,25469,4
BMW X5,93444,18530,6
BMW X5,57826,26572,4
Mercedez Benz C class,81809,20784,5
Audi A5,25762,29935,3
Audi A5,93082,10000,9
Mercedez Benz C class,77378,22960,5
BMW X5,18969,30631,2
BMW X5,137858,10000,10
BMW X5,89427,10000,9
Mercedez Benz C class,37365,32993,4
BMW X5,106159,10088,7
BMW X5,12215,42877,1
Audi A5,33668,35171,2
BMW X5,61830,25620,4
BMW X5,111021,10000,8
Mercedez Benz C class,10833,39315,1
BMW X5,48114,20957,3
BMW X5,52648,23430,5
BMW X5,47439,17195,4
Audi A5,12088,36343,1
Mercedez Benz C class,112806,10000,9
Mercedez Benz C class,25060,35567,2
Mercedez Benz C class,38020,18009,4
Audi A5,11940,37669,1
Audi A5,18266,40142,2
Mercedez Benz C class,87183,10000,8
Mercedez Benz C class,120035,10000,7
BMW X5,102859,10000,10
BMW X5,89138,16895,8
Mercedez Benz C class,30780,34145,2
BMW X5,53336,33971,3
Audi A5,54479,22559,5
BMW X5,69977,10000,7
Mercedez Benz C class,99427,10000,9
BMW X5,89205,10000,10
BMW X5,74874,10000,7
Audi A5,82802,10000,10
BMW X5,109760,10000,8
Mercedez Benz C class,49842,17383,4
Audi A5,153371,10000,10
BMW X5,65563,13772,5
Audi A5,17257,29816,1
BMW X5,137569,10000,8
Audi A5,27224,30346,2
Mercedez Benz C class,61960,19908,4
Audi A5,47897,25292,4
BMW X5,48591,17857,3
BMW X5,33192,23764,4
Mercedez Benz C class,88055,10000,8
Audi A5,38111,24824,4
Audi A5,22219,32537,2
BMW X5,34234,34620,2
Mercedez Benz C class,34759,38085,2
Mercedez Benz C class,28795,38029,2
Mercedez Benz C class,29552,28121,3
BMW X5,37735,21907,3
BMW X5,103506,16013,6
BMW X5,94822,10000,7
Audi A5,104655,14060,6
Audi A5,38482,30706,3
Audi A5,43525,26503,4
BMW X5,70062,10000,7
Audi A5,87228,11653,5
Audi A5,34024,14305,4
BMW X5,43129,23296,4
BMW X5,75687,10000,8
Audi A5,148797,10000,9
Mercedez Benz C class,31560,32725,3
BMW X5,16123,42270,1
BMW X5,85902,10000,7
BMW X5,82183,10000,9
Audi A5,26875,29829,3
Mercedez Benz C class,90419,10000,8
Mercedez Benz C class,82400,16022,6
Mercedez Benz C class,128651,10000,10
Mercedez Benz C class,136461,14899,8
Mercedez Benz C class,115668,10000,9
Mercedez Benz C class,29125,32004,3
BMW X5,47489,30218,3
BMW X5,19371,33140,2
BMW X5,49279,14055,5
Mercedez Benz C class,12113,39175,1
BMW X5,100806,10000,8
Audi A5,81960,12072,5
BMW X5,62188,15250,5
BMW X5,69309,12418,4
Mercedez Benz C class,58789,19835,5
BMW X5,141850,10000,8
Audi A5,83151,10691,6
Mercedez Benz C class,12441,42757,1
BMW X5,66245,10000,8
BMW X5,71059,20151,4
Audi A5,64556,10000,4
Mercedez Benz C class,81177,10000,9
Mercedez Benz C class,79574,10000,7
Audi A5,31489,33079,3
Audi A5,82207,21116,5
BMW X5,148245,10000,9
BMW X5,12774,44789,1
BMW X5,84837,18201,5
Mercedez Benz C class,85899,10000,10
Mercedez Benz C class,13062,39770,1
Mercedez Benz C class,8690,34537,1
BMW X5,92603,10000,6
Audi A5,17074,33198,1
Audi A5,103593,10000,10
Mercedez Benz C class,57616,14926,5
Mercedez Benz C class,94857,10000,6
Audi A5,117826,10000,9
BMW X5,8691,36002,1
Mercedez Benz C class,57054,30163,4
Mercedez Benz C class,53396,21609,4
Audi A5,77382,15473,8
Mercedez Benz C class,84947,12278,5
BMW X5,17223,29179,2
BMW X5,51902,28905,5
Mercedez Benz C class,71679,14479,5
Audi A5,81365,10000,9
Audi A5,66560,17985,5
Audi A5,13300,38414,1
Mercedez Benz C class,15687,31255,1
BMW X5,51676,26249,4
BMW X5,12073,34753,1
Mercedez Benz C class,58037,24253,6
Mercedez Benz C class,15514,30805,1
Mercedez Benz C class,72145,19099,6
Mercedez Benz C class,50082,24290,5
BMW X5,16407,31531,2
BMW X5,177140,10000,10
Mercedez Benz C class,52765,22056,4
BMW X5,78126,14488,5
Audi A5,56899,17700,6
BMW X5,71340,10000,6
Audi A5,100918,14649,6
Audi A5,117009,10000,7
Mercedez Benz C class,118162,10000,7
Mercedez Benz C class,51525,13707,5
Audi A5,88009,14004,6
BMW X5,35950,29717,2
Mercedez Benz C class,11763,40890,1
Audi A5,158230,10000,10
Audi A5,165244,10000,10
Audi A5,58189,12050,7
Audi A5,77729,24869,5
Mercedez Benz C class,77299,15371,5
Audi A5,115256,10000,9
Audi A5,74882,10000,9
Audi A5,93596,23544,6
BMW X5,139463,10000,8
Mercedez Benz C class,115936,10000,8
BMW X5,76073,10000,5
BMW X5,62976,24665,4
BMW X5,21502,36376,2
BMW X5,42004,33407,3
BMW X5,57057,21312,5
Audi A5,35786,25291,2
Mercedez Benz C class,101138,15271,6
Mercedez Benz C class,120718,15658,7
Mercedez Benz C class,133385,10000,9
Mercedez Benz C class,14015,42507,1
BMW X5,101449,10000,7
Audi A5,105811,10000,9
Mercedez Benz C class,92119,10000,7
Audi A5,87654,10000,9
Mercedez Benz C class,20723,37230,2
Mercedez Benz C class,74200,17179,8
BMW X5,86744,10000,8
Mercedez Benz C class,10119,41262,1
Audi A5,70459,22751,5
BMW X5,117009,10000,10
Audi A5,21244,34092,2
Mercedez Benz C class,92172,10000,7
BMW X5,16185,31190,2
Audi A5,115752,12516,8
Audi A5,29742,24797,2
BMW X5,35506,39955,2
Audi A5,41282,28972,3
BMW X5,68162,21736,4
BMW X5,119851,10000,8
Audi A5,39737,31348,4
Mercedez Benz C class,25677,20796,3
BMW X5,70024,10000,8
BMW X5,80089,10000,5
BMW X5,119018,10000,8
Mercedez Benz C class,15538,38564,1
Mercedez Benz C class,54151,20128,5
Mercedez Benz C class,77551,17006,5
BMW X5,43008,29193,5
BMW X5,120074,10000,8
Mercedez Benz C class,25265,33300,2
Mercedez Benz C class,118511,10000,8
Audi A5,8106,30651,1
Audi A5,53603,31568,4
Mercedez Benz C class,117872,10000,9
Mercedez Benz C class,82451,14176,5
Mercedez Benz C class,15769,38967,1
Mercedez Benz C class,178080,10000,10
Audi A5,11238,45768,1
BMW X5,106772,10000,9
BMW X5,53444,20803,6
Mercedez Benz C class,71512,10000,7
Mercedez Benz C class,139851,10000,9
BMW X5,25601,38073,3
Audi A5,8558,44513,1
Audi A5,20168,29739,2
BMW X5,11928,42220,1
BMW X5,16388,40055,2
BMW X5,111476,12991,8
BMW X5,126296,10000,9
BMW X5,50794,27398,5
Mercedez Benz C class,91262,16228,7
Mercedez Benz C class,75857,14178,6
Audi A5,9134,43085,1
Mercedez Benz C class,87206,14372,7
Mercedez Benz C class,60382,13784,7
BMW X5,27465,28057,3
Audi A5,48447,19434,4
Audi A5,58546,16110,5
Mercedez Benz C class,8367,35268,1
Mercedez Benz C class,67089,26277,4
Mercedez Benz C class,19882,37422,2
BMW X5,65830,25736,5
Mercedez Benz C class,60390,22202,5
BMW X5,50928,20607,4
Audi A5,97650,17909,6
Audi A5,15294,31286,1
BMW X5,24070,36079,2
Audi A5,102176,10000,9
Audi A5,83933,13400,6
Mercedez Benz C class,51655,29006,4
Audi A5,98094,11898,7
Mercedez Benz C class,20145,31266,2
Mercedez Benz C class,51548,28427,3
BMW X5,29840,31340,2
Audi A5,45495,36448,3
BMW X5,69373,22964,4
Mercedez Benz C class,24902,33184,2
Audi A5,13665,33827,1
Audi A5,27814,28279,2
Audi A5,12389,42858,1
Mercedez Benz C class,76628,10000,7
Mercedez Benz C class,24288,30336,2
BMW X5,107225,12268,6
Mercedez Benz C class,172001,10000,10
BMW X5,124792,10000,10
Mercedez Benz C class,39878,29355,3
Audi A5,143869,10000,9
Mercedez Benz C class,54268,27486,4
Audi A5,94928,12577,7
BMW X5,47466,20457,4
Audi A5,121231,10000,8
BMW X5,54918,17579,5
Mercedez Benz C class,77121,23504,5
Mercedez Benz C class,105175,14755,6
Audi A5,8744,42703,1
Audi A5,90516,10145,6
BMW X5,55872,21830,4
Mercedez Benz C class,21352,29385,2
Mercedez Benz C class,59250,28903,5
Audi A5,32732,23803,4
Mercedez Benz C class,54480,24933,5
BMW X5,12097,43108,1
Mercedez Benz C class,112658,13030,7
BMW X5,25379,35594,2
Mercedez Benz C class,76815,10000,8
Audi A5,64054,17771,5
BMW X5,54618,14883,4
Audi A5,93389,14279,6
BMW X5,64686,28025,4
Audi A5,141680,10000,8
Audi A5,158422,10000,10
BMW X5,33590,32348,4
BMW X5,69474,18500,5
Audi A5,75416,20791,7
BMW X5,29082,27669,2
BMW X5,42589,19822,3
Audi A5,34814,28099,3
Audi A5,17621,38100,1
Mercedez Benz C class,71615,20667,6
BMW X5,34315,37520,2
Audi A5,59322,16118,6
BMW X5,87394,10000,10
Audi A5,44534,23034,3
BMW X5,100954,10000,8
Mercedez Benz C class,91404,17634,6
BMW X5,62491,19382,4
Audi A5,138219,10000,9
BMW X5,124370,10000,9
BMW X5,50861,19144,4
Mercedez Benz C class,53717,35066,3
Audi A5,14553,30397,1
Mercedez Benz C class,33751,27125,4
BMW X5,68678,10000,7
Mercedez Benz C class,97043,12307,7
Mercedez Benz C class,95061,11737,6
BMW X5,118043,10601,8
Audi A5,31908,33895,2
BMW X5,43684,31398,3
Audi A5,21568,38091,2
Mercedez Benz C class,83037,14544,8
Mercedez Benz C class,86560,12065,7
Audi A5,23871,30317,2
Mercedez Benz C class,36457,23153,4
BMW X5,52026,22673,4
Mercedez Benz C class,117010,10000,7
Audi A5,14674,43082,1
Audi A5,10546,34073,1
BMW X5,106367,10000,6
BMW X5,16683,39643,2
Mercedez Benz C class,103241,17454,6
Mercedez Benz C class,9059,43488,1
BMW X5,49650,14985,6
Audi A5,66382,10000,7
Audi A5,134130,10000,8
Audi A5,36379,31478,3
Mercedez Benz C class,151627,10000,10
BMW X5,97076,13687,6
Audi A5,17982,32862,1
Audi A5,30939,24082,2
Mercedez Benz C class,23274,38451,2
BMW X5,41383,19814,4
BMW X5,50161,31037,3
Mercedez Benz C class,149686,10000,10
Mercedez Benz C class,29589,35897,2
Audi A5,71460,23139,5
Mercedez Benz C class,20861,29484,2
Audi A5,41716,31052,4
Audi A5,46643,20750,3
Audi A5,77537,10000,8
Mercedez Benz C class,42758,21128,5
Audi A5,95625,10000,10
Audi A5,51459,29690,3
Mercedez Benz C class,69214,21205,4
Audi A5,35388,26981,3
Audi A5,140983,10000,9
Mercedez Benz C class,76676,10000,9
Audi A5,124614,10000,8
BMW X5,40482,26716,4
BMW X5,88865,10000,8
BMW X5,85145,10000,7
Audi A5,82664,10000,10
BMW X5,81330,25107,6
BMW X5,123511,10000,8
Mercedez Benz C class,93155,10000,6
Audi A5,152784,10000,10
Mercedez Benz C class,75069,10000,7
Audi A5,15888,41066,1
BMW X5,21591,33851,2
Mercedez Benz C class,95057,11438,6
BMW X5,80580,10000,9
Audi A5,85763,10000,10
Mercedez Benz C class,51893,21882,4
Audi A5,26808,32417,2
BMW X5,103639,10000,7
Audi A5,70529,10000,8
BMW X5,117317,10000,7
Audi A5,28198,31040,2
Mercedez Benz C class,105545,10000,7
BMW X5,93703,16097,7
BMW X5,154569,10000,9
Audi A5,148448,10000,9
BMW X5,33652,23617,3
BMW X5,123125,10000,8
BMW X5,46485,18920,5
Mercedez Benz C class,83759,10000,8
BMW X5,14071,37393,1
Audi A5,94116,10000,9
BMW X5,11742,44638,1
Audi A5,74719,10000,7
Mercedez Benz C class,84405,10000,9
Mercedez Benz C class,125735,10000,9
BMW X5,115102,10000,10
BMW X5,22123,26166,2
BMW X5,157478,10000,9
BMW X5,87376,12955,7
BMW X5,143057,10000,8
Audi A5,35911,33434,3
Mercedez Benz C class,39777,30432,4
BMW X5,127271,10000,10
Mercedez Benz C class,65382,10000,6
BMW X5,43211,24927,3
Audi A5,130830,10000,9
Mercedez Benz C class,21937,31702,2
BMW X5,9794,44362,1
Mercedez Benz C class,61370,17496,4
Audi A5,85704,10000,10
Audi A5,16574,32558,1
BMW X5,72547,14158,5
Mercedez Benz C class,105513,11280,6
Audi A5,112733,10000,8
BMW X5,56092,17971,7
BMW X5,53826,29797,3
BMW X5,53883,29925,3
BMW X5,90579,10000,7
BMW X5,116389,10000,9
Audi A5,54981,25219,5
Mercedez Benz C class,11748,37885,1
BMW X5,72407,14058,5
BMW X5,101713,23722,6
Audi A5,79046,22150,5
Mercedez Benz C class,66273,25906,5
Audi A5,18245,25889,2
BMW X5,83134,10000,9
Mercedez Benz C class,49833,15227,4
Mercedez Benz C class,107008,10000,10
Audi A5,110155,16919,7
BMW X5,101647,10000,8
BMW X5,73393,17280,5
BMW X5,27248,28336,2
Mercedez Benz C class,17459,37788,1
BMW X5,32963,33196,4
Mercedez Benz C class,10365,37932,1
Mercedez Benz C class,14453,32300,1
BMW X5,71282,29667,4
BMW X5,41973,21549,4
BMW X5,99942,10000,9
BMW X5,8370,30951,1
Mercedez Benz C class,97450,10000,9
BMW X5,69314,21741,5
Audi A5,16085,41433,1
Audi A5,86957,10000,9
Audi A5,43427,25552,4
Audi A5,30892,25370,3
Mercedez Benz C class,50748,10000,6
Mercedez Benz C class,11299,40815,1
BMW X5,60356,24360,4
BMW X5,155966,10000,10
BMW X5,71781,16698,5
BMW X5,94277,16049,7
BMW X5,11473,37316,1
Mercedez Benz C class,71920,20130,5
BMW X5,15997,38002,1
Audi A5,163470,10000,10
BMW X5,74408,19363,5
Audi A5,45347,33172,4
Mercedez Benz C class,102016,10000,9
BMW X5,106368,10000,9
Audi A5,30712,36422,2
Mercedez Benz C class,18397,28045,2
Mercedez Benz C class,29682,36094,2
Audi A5,107132,14121,6
Audi A5,68237,10000,7
Mercedez Benz C class,52793,30192,3
BMW X5,24185,34718,2
Audi A5,120110,10000,9
Audi A5,89453,13290,7
Audi A5,63738,23302,7
BMW X5,22266,28807,2
BMW X5,23777,28474,2
Audi A5,86208,10000,10
Audi A5,62332,22878,4
Audi A5,75010,12094,7
BMW X5,140493,10000,9
Mercedez Benz C class,53948,27740,3
Mercedez Benz C class,138151,10000,9
BMW X5,32372,29275,3
BMW X5,140339,10000,10
BMW X5,64509,26429,4
Mercedez Benz C class,64506,26637,4
Audi A5,27254,38146,2
Mercedez Benz C class,82461,10000,7
BMW X5,121447,11375,7
Mercedez Benz C class,24247,28094,3
Mercedez Benz C class,45056,25561,3
Mercedez Benz C class,12178,42558,1
Audi A5,67787,22170,4
BMW X5,75650,18040,5
Mercedez Benz C class,140514,10000,9
Mercedez Benz C class,121821,10000,8
Mercedez Benz C class,73985,19508,5
Audi A5,108047,10000,8
Audi A5,70627,16036,4
Audi A5,84732,10000,10
BMW X5,108328,10000,8
Mercedez Benz C class,63202,20472,4
Audi A5,25674,20932,3
Mercedez Benz C class,53949,10000,6
BMW X5,27881,33632,2
BMW X5,133635,10000,10
Mercedez Benz C class,34837,27986,2
Mercedez Benz C class,20516,28027,2
Mercedez Benz C class,91254,10000,6
BMW X5,98716,21319,6
BMW X5,69460,21210,5
Mercedez Benz C class,159371,10000,10
Mercedez Benz C class,88545,16919,6
BMW X5,92519,10000,7
BMW X5,13496,43000,1
Mercedez Benz C class,38103,29738,3
Audi A5,69453,10000,8
BMW X5,15212,31189,1
Audi A5,83802,10000,9
BMW X5,17420,42895,1
BMW X5,9383,43507,1
Audi A5,16586,38623,1
Audi A5,30679,30296,2
Audi A5,13468,35566,1
Audi A5,26284,31087,2
BMW X5,58111,27172,4
Mercedez Benz C class,32996,31541,3
BMW X5,149371,10000,9
Mercedez Benz C class,28930,27124,3
BMW X5,55923,14724,4
Audi A5,66262,15190,8
BMW X5,63286,11204,6
BMW X5,138211,10000,10
Mercedez Benz C class,39523,26685,4
Mercedez Benz C class,179376,10000,10
BMW X5,99401,10000,7
Audi A5,16127,35496,2
Mercedez Benz C class,103863,10000,10
Mercedez Benz C class,118793,10000,7
BMW X5,139572,10000,8
Audi A5,153719,10000,9
Audi A5,37490,21083,4
BMW X5,89927,10000,6
Mercedez Benz C class,84577,10000,8
BMW X5,100469,10000,10
Audi A5,47465,26743,3
Audi A5,142309,10000,9
Audi A5,69120,10000,7
BMW X5,61769,10000,7
Audi A5,75421,17630,5
BMW X5,64497,10397,8
BMW X5,74236,10000,6
Audi A5,105982,10000,6
BMW X5,52198,13955,4
Mercedez Benz C class,37501,35336,3
BMW X5,116675,10000,8
Mercedez Benz C class,68761,13875,6
Audi A5,20203,36249,2
Mercedez Benz C class,50488,18511,6
Mercedez Benz C class,58481,18986,4
Mercedez Benz C class,125403,10000,10
Audi A5,107257,10000,8
Audi A5,111627,10000,7
Mercedez Benz C class,72313,16374,6
Audi A5,124688,10000,8
Audi A5,15535,39522,1
Audi A5,119006,14130,7
BMW X5,109650,10000,7
Audi A5,13180,35466,1
Mercedez Benz C class,70668,15903,4
Audi A5,80467,13969,6
Mercedez Benz C class,37366,22542,3
Audi A5,42364,17927,4
BMW X5,69745,10000,6
BMW X5,35697,26715,2
BMW X5,98829,10000,9
Mercedez Benz C class,57261,15072,6
Mercedez Benz C class,81854,10000,8
Audi A5,56823,24910,4
Audi A5,127298,10000,8
BMW X5,139932,13290,8
Audi A5,24636,29387,2
BMW X5,98564,10000,7
Audi A5,71810,15633,4
Mercedez Benz C class,47900,26569,3
Audi A5,63599,23228,4
Audi A5,137909,10000,9
Audi A5,52378,24206,3
BMW X5,62927,18329,7
Mercedez Benz C class,103719,10000,8
Audi A5,29643,31108,3
BMW X5,131607,15169,8
Mercedez Benz C class,170121,10000,10
BMW X5,104711,10000,7
Mercedez Benz C class,69740,10000,8
BMW X5,104515,10000,6
Audi A5,56043,22655,5
Mercedez Benz C class,37599,32991,3
Audi A5,22242,35530,2
Audi A5,8068,39542,1
Mercedez Benz C class,130432,10000,9
BMW X5,106398,10000,9
